INFO    ,Place North
DEBUG   ,-7.327148,4.841016
DEBUG   ,-7.327148,4.841016
DEBUG   ,-7.327148,4.841016
DEBUG   ,-7.327148,4.841016
DEBUG   ,-7.327148,4.841016
DEBUG   ,-7.327148,4.841016
DEBUG   ,-7.327148,4.841016
DEBUG   ,-4.289062,4.303125
DEBUG   ,-4.289062,4.303125
DEBUG   ,-4.289062,4.303125
DEBUG   ,-4.289062,4.303125
DEBUG   ,-4.289062,4.303125
DEBUG   ,-4.289062,4.303125
DEBUG   ,-4.289062,4.303125
DEBUG   ,-4.289062,4.303125
DEBUG   ,-4.289062,4.303125
DEBUG   ,-4.289062,4.303125
DEBUG   ,-3.395508,3.765234
DEBUG   ,-3.395508,3.765234
DEBUG   ,-3.395508,3.765234
DEBUG   ,-3.395508,3.765234
DEBUG   ,-3.395508,3.765234
DEBUG   ,-3.395508,3.765234
DEBUG   ,-3.395508,3.765234
DEBUG   ,-3.395508,3.765234
DEBUG   ,-3.395508,3.765234
DEBUG   ,-3.395508,3.765234
DEBUG   ,0.000000,3.227344
DEBUG   ,0.000000,3.227344
DEBUG   ,0.000000,3.227344
DEBUG   ,0.000000,3.227344
DEBUG   ,0.000000,3.227344
DEBUG   ,0.000000,3.227344
DEBUG   ,0.000000,3.227344
DEBUG   ,0.000000,3.227344
DEBUG   ,0.000000,3.227344
DEBUG   ,0.000000,3.227344
DEBUG   ,3.752930,1.972266
DEBUG   ,3.752930,1.972266
DEBUG   ,3.752930,1.972266
DEBUG   ,3.752930,1.972266
DEBUG   ,3.752930,1.972266
DEBUG   ,3.752930,1.972266
DEBUG   ,3.752930,1.972266
DEBUG   ,3.752930,1.972266
DEBUG   ,3.752930,1.972266
DEBUG   ,3.752930,1.972266
DEBUG   ,3.752930,1.972266
DEBUG   ,3.752930,1.972266
DEBUG   ,3.752930,1.972266
DEBUG   ,3.752930,1.972266
DEBUG   ,3.752930,1.972266
DEBUG   ,3.752930,1.972266
DEBUG   ,3.752930,1.972266
DEBUG   ,3.752930,1.972266
DEBUG   ,3.752930,1.972266
DEBUG   ,3.752930,1.972266
DEBUG   ,5.718750,1.792969
DEBUG   ,5.718750,1.792969
DEBUG   ,5.718750,1.792969
DEBUG   ,5.718750,1.792969
DEBUG   ,5.718750,1.792969
DEBUG   ,5.718750,1.792969
DEBUG   ,5.718750,1.792969
DEBUG   ,5.718750,1.792969
DEBUG   ,5.718750,1.792969
DEBUG   ,5.718750,1.792969
DEBUG   ,7.148438,1.075781
DEBUG   ,7.148438,1.075781
DEBUG   ,7.148438,1.075781
DEBUG   ,7.148438,1.075781
DEBUG   ,7.148438,1.075781
DEBUG   ,7.148438,1.075781
DEBUG   ,7.148438,1.075781
DEBUG   ,7.148438,1.075781
DEBUG   ,7.148438,1.075781
DEBUG   ,7.148438,1.075781
DEBUG   ,5.540039,0.179297
DEBUG   ,5.540039,0.179297
DEBUG   ,5.540039,0.179297
DEBUG   ,5.540039,0.179297
DEBUG   ,5.540039,0.179297
DEBUG   ,5.540039,0.179297
DEBUG   ,5.540039,0.179297
DEBUG   ,5.540039,0.179297
DEBUG   ,5.540039,0.179297
DEBUG   ,5.540039,0.179297
DEBUG   ,5.718750,0.358594
DEBUG   ,5.718750,0.358594
DEBUG   ,5.718750,0.358594
DEBUG   ,5.718750,0.358594
DEBUG   ,5.718750,0.358594
DEBUG   ,5.718750,0.358594
DEBUG   ,5.718750,0.358594
DEBUG   ,5.718750,0.358594
DEBUG   ,5.718750,0.358594
DEBUG   ,5.718750,0.358594
DEBUG   ,4.467773,-0.537891
DEBUG   ,4.467773,-0.537891
DEBUG   ,4.467773,-0.537891
DEBUG   ,4.467773,-0.537891
DEBUG   ,4.467773,-0.537891
DEBUG   ,4.467773,-0.537891
DEBUG   ,4.467773,-0.537891
DEBUG   ,4.467773,-0.537891
DEBUG   ,4.467773,-0.537891
DEBUG   ,4.467773,-0.537891
DEBUG   ,4.467773,-0.537891
DEBUG   ,4.467773,-0.537891
DEBUG   ,4.467773,-0.537891
DEBUG   ,4.467773,-0.537891
DEBUG   ,4.467773,-0.537891
DEBUG   ,4.467773,-0.537891
DEBUG   ,4.467773,-0.537891
DEBUG   ,4.467773,-0.537891
DEBUG   ,4.467773,-0.537891
DEBUG   ,4.467773,-0.537891
DEBUG   ,1.608398,-0.537891
DEBUG   ,1.608398,0.179297
DEBUG   ,1.608398,0.179297
DEBUG   ,1.608398,0.179297
DEBUG   ,1.608398,0.179297
DEBUG   ,1.608398,0.179297
DEBUG   ,1.608398,0.179297
DEBUG   ,1.608398,0.179297
DEBUG   ,1.608398,0.179297
DEBUG   ,1.608398,0.179297
DEBUG   ,1.608398,0.179297
DEBUG   ,1.608398,-1.972266
DEBUG   ,1.608398,-1.972266
DEBUG   ,1.608398,-1.972266
DEBUG   ,1.608398,-1.972266
DEBUG   ,1.608398,-1.972266
DEBUG   ,1.608398,-1.972266
DEBUG   ,1.608398,-1.972266
DEBUG   ,1.608398,-1.972266
DEBUG   ,1.608398,-1.972266
DEBUG   ,3.038086,-0.179297
DEBUG   ,3.038086,-0.179297
DEBUG   ,3.038086,-0.179297
DEBUG   ,3.038086,-0.179297
DEBUG   ,3.038086,-0.179297
DEBUG   ,3.038086,-0.179297
DEBUG   ,3.038086,-0.179297
DEBUG   ,3.038086,-0.179297
DEBUG   ,3.038086,-0.179297
DEBUG   ,3.038086,-0.179297
DEBUG   ,3.038086,-0.179297
DEBUG   ,4.646484,-1.075781
DEBUG   ,4.646484,-1.075781
DEBUG   ,4.646484,-1.075781
DEBUG   ,4.646484,-1.075781
DEBUG   ,4.646484,-1.075781
DEBUG   ,4.646484,-1.075781
DEBUG   ,4.646484,-1.075781
DEBUG   ,4.646484,-1.075781
DEBUG   ,4.646484,-1.075781
DEBUG   ,4.646484,-1.075781
DEBUG   ,5.897461,-0.896484
DEBUG   ,5.897461,-0.896484
DEBUG   ,5.897461,-0.896484
DEBUG   ,5.897461,-0.896484
DEBUG   ,5.897461,-0.896484
DEBUG   ,5.897461,-0.896484
DEBUG   ,5.897461,-0.896484
DEBUG   ,5.897461,-0.896484
DEBUG   ,5.897461,-0.896484
DEBUG   ,7.148438,-1.434375
DEBUG   ,7.148438,-1.434375
DEBUG   ,7.148438,-1.434375
DEBUG   ,7.148438,-1.434375
DEBUG   ,7.148438,-1.434375
DEBUG   ,7.148438,-1.434375
DEBUG   ,7.148438,-1.434375
DEBUG   ,7.148438,-1.434375
DEBUG   ,7.148438,-1.434375
DEBUG   ,7.148438,-1.434375
DEBUG   ,7.148438,-1.434375
DEBUG   ,7.148438,-1.434375
DEBUG   ,7.148438,-1.434375
DEBUG   ,7.148438,-1.434375
DEBUG   ,7.148438,-1.434375
DEBUG   ,7.148438,-1.434375
DEBUG   ,7.148438,-1.434375
DEBUG   ,7.148438,-1.434375
DEBUG   ,7.148438,-1.434375
DEBUG   ,7.148438,-1.434375
DEBUG   ,6.969727,-2.689453
DEBUG   ,6.969727,-2.689453
DEBUG   ,6.969727,-2.689453
DEBUG   ,6.969727,-2.689453
DEBUG   ,6.969727,-2.689453
DEBUG   ,6.969727,-2.689453
DEBUG   ,6.969727,-2.689453
DEBUG   ,6.969727,-2.689453
DEBUG   ,6.969727,-2.689453
DEBUG   ,6.969727,-2.689453
DEBUG   ,9.829102,-1.255078
DEBUG   ,9.829102,-1.255078
DEBUG   ,9.829102,-1.255078
DEBUG   ,9.829102,-1.255078
DEBUG   ,9.829102,-1.255078
DEBUG   ,9.829102,-1.255078
DEBUG   ,9.829102,-1.255078
DEBUG   ,9.829102,-1.255078
DEBUG   ,9.829102,-1.255078
DEBUG   ,9.829102,-1.255078
DEBUG   ,7.684570,1.613672
DEBUG   ,7.684570,1.613672
DEBUG   ,7.684570,1.613672
DEBUG   ,7.684570,1.613672
DEBUG   ,7.684570,1.613672
DEBUG   ,7.684570,1.613672
DEBUG   ,7.684570,1.613672
DEBUG   ,7.684570,1.613672
DEBUG   ,7.684570,1.613672
DEBUG   ,7.684570,1.613672
DEBUG   ,11.616211,2.330859
DEBUG   ,11.616211,2.330859
DEBUG   ,11.616211,2.330859
DEBUG   ,11.616211,2.330859
DEBUG   ,11.616211,2.330859
DEBUG   ,11.616211,2.330859
DEBUG   ,11.616211,2.330859
DEBUG   ,11.616211,2.330859
DEBUG   ,11.616211,2.330859
DEBUG   ,11.616211,2.330859
DEBUG   ,12.688477,3.048047
DEBUG   ,12.688477,3.048047
DEBUG   ,12.688477,3.048047
DEBUG   ,12.688477,3.048047
DEBUG   ,12.688477,3.048047
DEBUG   ,12.688477,3.048047
DEBUG   ,12.688477,3.048047
DEBUG   ,12.688477,3.048047
DEBUG   ,12.688477,3.048047
DEBUG   ,12.688477,3.048047
DEBUG   ,11.973633,3.765234
DEBUG   ,11.973633,3.765234
DEBUG   ,11.973633,3.765234
DEBUG   ,11.973633,3.765234
DEBUG   ,11.973633,3.765234
DEBUG   ,11.973633,3.765234
DEBUG   ,11.973633,3.765234
DEBUG   ,11.973633,3.765234
DEBUG   ,11.973633,3.765234
DEBUG   ,11.973633,3.765234
DEBUG   ,11.973633,3.765234
DEBUG   ,11.973633,3.765234
DEBUG   ,11.973633,3.765234
DEBUG   ,11.973633,3.765234
DEBUG   ,11.973633,3.765234
DEBUG   ,11.973633,3.765234
DEBUG   ,11.973633,3.765234
DEBUG   ,11.973633,3.765234
DEBUG   ,11.973633,3.765234
DEBUG   ,11.973633,3.765234
DEBUG   ,8.578125,3.585938
DEBUG   ,8.578125,3.585938
DEBUG   ,8.578125,3.585938
DEBUG   ,8.578125,3.585938
DEBUG   ,8.578125,3.585938
DEBUG   ,8.578125,3.585938
DEBUG   ,8.578125,3.585938
DEBUG   ,8.578125,3.585938
DEBUG   ,8.578125,3.585938
DEBUG   ,8.578125,3.585938
DEBUG   ,7.863281,3.227344
DEBUG   ,7.863281,3.227344
DEBUG   ,7.863281,3.227344
DEBUG   ,7.863281,3.227344
DEBUG   ,7.863281,3.227344
DEBUG   ,7.863281,3.227344
DEBUG   ,7.863281,3.227344
DEBUG   ,7.863281,3.227344
DEBUG   ,7.863281,3.227344
DEBUG   ,7.863281,3.227344
DEBUG   ,5.897461,1.972266
DEBUG   ,5.897461,1.972266
DEBUG   ,5.897461,1.972266
DEBUG   ,5.897461,1.972266
DEBUG   ,5.897461,1.972266
DEBUG   ,5.897461,1.972266
DEBUG   ,5.897461,1.972266
DEBUG   ,5.897461,1.972266
DEBUG   ,5.897461,1.972266
DEBUG   ,5.897461,1.972266
DEBUG   ,5.897461,1.972266
DEBUG   ,9.829102,-0.537891
DEBUG   ,9.829102,-0.537891
DEBUG   ,9.829102,-0.537891
DEBUG   ,9.829102,-0.537891
DEBUG   ,9.829102,-0.537891
DEBUG   ,9.829102,-0.537891
DEBUG   ,9.829102,-0.537891
DEBUG   ,9.829102,-0.537891
DEBUG   ,9.829102,-0.537891
DEBUG   ,9.829102,-0.537891
DEBUG   ,10.365234,0.358594
DEBUG   ,10.365234,0.358594
DEBUG   ,10.365234,0.358594
DEBUG   ,10.365234,0.358594
DEBUG   ,10.365234,0.358594
DEBUG   ,10.365234,0.358594
DEBUG   ,10.365234,0.358594
DEBUG   ,10.365234,0.358594
DEBUG   ,10.365234,0.358594
DEBUG   ,10.365234,0.358594
DEBUG   ,5.718750,1.434375
DEBUG   ,5.718750,1.434375
DEBUG   ,5.718750,1.434375
DEBUG   ,5.718750,1.434375
DEBUG   ,5.718750,1.434375
DEBUG   ,5.718750,1.434375
DEBUG   ,5.718750,1.434375
DEBUG   ,5.718750,1.434375
DEBUG   ,5.718750,1.434375
DEBUG   ,5.718750,1.434375
DEBUG   ,8.756836,2.330859
DEBUG   ,8.756836,2.330859
DEBUG   ,8.756836,2.330859
DEBUG   ,8.756836,2.330859
DEBUG   ,8.756836,2.330859
DEBUG   ,8.756836,2.330859
DEBUG   ,8.756836,2.330859
DEBUG   ,8.756836,2.330859
DEBUG   ,8.756836,2.330859
DEBUG   ,8.756836,2.330859
DEBUG   ,8.756836,2.330859
DEBUG   ,8.756836,2.330859
DEBUG   ,8.756836,2.330859
DEBUG   ,8.756836,2.330859
DEBUG   ,8.756836,2.330859
DEBUG   ,8.756836,2.330859
DEBUG   ,8.756836,2.330859
DEBUG   ,8.756836,2.330859
DEBUG   ,8.756836,2.330859
DEBUG   ,12.331055,3.406641
DEBUG   ,12.331055,3.406641
DEBUG   ,12.331055,3.406641
DEBUG   ,12.331055,3.406641
DEBUG   ,12.331055,3.406641
DEBUG   ,12.331055,3.406641
DEBUG   ,12.331055,3.406641
DEBUG   ,12.331055,3.406641
DEBUG   ,12.331055,3.406641
DEBUG   ,11.973633,2.330859
DEBUG   ,11.973633,2.330859
DEBUG   ,11.973633,2.330859
DEBUG   ,11.973633,2.330859
DEBUG   ,11.973633,2.330859
DEBUG   ,11.973633,2.330859
DEBUG   ,11.973633,2.330859
DEBUG   ,11.973633,2.330859
DEBUG   ,11.973633,2.330859
DEBUG   ,11.973633,2.330859
DEBUG   ,11.437500,3.585938
DEBUG   ,11.437500,3.585938
DEBUG   ,11.437500,3.585938
DEBUG   ,11.437500,3.585938
DEBUG   ,11.437500,3.585938
DEBUG   ,11.437500,3.585938
DEBUG   ,11.437500,3.585938
DEBUG   ,11.437500,3.585938
DEBUG   ,11.437500,3.585938
DEBUG   ,11.437500,3.585938
DEBUG   ,10.722656,2.151562
DEBUG   ,10.722656,2.151562
DEBUG   ,10.722656,2.151562
DEBUG   ,10.722656,2.151562
DEBUG   ,10.722656,2.151562
DEBUG   ,10.722656,2.151562
DEBUG   ,10.722656,2.151562
DEBUG   ,10.722656,2.151562
DEBUG   ,10.722656,2.151562
DEBUG   ,10.722656,2.151562
DEBUG   ,10.007812,2.510156
DEBUG   ,10.007812,2.510156
DEBUG   ,10.007812,2.510156
DEBUG   ,10.007812,2.510156
DEBUG   ,10.007812,2.510156
DEBUG   ,10.007812,2.510156
DEBUG   ,10.007812,2.510156
DEBUG   ,10.007812,2.510156
DEBUG   ,10.007812,2.510156
DEBUG   ,8.935547,2.151562
DEBUG   ,8.935547,2.151562
DEBUG   ,8.935547,2.151562
DEBUG   ,8.935547,2.151562
DEBUG   ,8.935547,2.151562
DEBUG   ,8.935547,2.151562
DEBUG   ,8.935547,2.151562
DEBUG   ,8.935547,2.151562
DEBUG   ,8.935547,2.151562
DEBUG   ,8.935547,2.151562
DEBUG   ,8.935547,2.151562
DEBUG   ,8.935547,2.151562
DEBUG   ,8.935547,2.151562
DEBUG   ,8.935547,2.151562
DEBUG   ,8.935547,2.151562
DEBUG   ,8.935547,2.151562
DEBUG   ,8.935547,2.151562
DEBUG   ,8.935547,2.151562
DEBUG   ,8.935547,2.151562
DEBUG   ,8.399414,4.123828
DEBUG   ,8.399414,4.123828
