WARNING ,Connection established: True
WARNING ,GPSNavInit
WARNING ,goodFix and end GPSNavInit
WARNING ,End initialize IMU & GPS
WARNING ,begin calibrateMag
DEBUG   ,5.540039,3.765234
DEBUG   ,5.540039,3.765234
DEBUG   ,13.045898,4.482422
DEBUG   ,13.045898,4.482422
DEBUG   ,14.475586,3.765234
DEBUG   ,14.475586,3.765234
DEBUG   ,14.475586,6.275391
DEBUG   ,14.475586,6.275391
DEBUG   ,16.441406,7.171875
DEBUG   ,16.441406,7.171875
DEBUG   ,17.692383,12.012891
DEBUG   ,17.692383,12.012891
DEBUG   ,17.334961,15.240234
DEBUG   ,17.334961,15.240234
DEBUG   ,17.334961,15.240234
DEBUG   ,17.334961,15.240234
DEBUG   ,16.977539,16.674609
DEBUG   ,16.977539,16.674609
DEBUG   ,15.369141,20.798437
DEBUG   ,15.369141,20.798437
DEBUG   ,14.833008,20.619141
DEBUG   ,14.833008,20.619141
DEBUG   ,13.582031,21.874219
DEBUG   ,13.582031,21.874219
DEBUG   ,11.794922,24.384375
DEBUG   ,11.794922,24.384375
DEBUG   ,11.080078,24.025781
DEBUG   ,11.080078,24.025781
DEBUG   ,9.471680,26.356641
DEBUG   ,9.471680,26.356641
DEBUG   ,11.080078,28.328906
DEBUG   ,11.080078,28.328906
DEBUG   ,11.080078,28.328906
DEBUG   ,11.080078,28.328906
DEBUG   ,10.901367,32.094141
DEBUG   ,10.901367,32.094141
DEBUG   ,9.471680,30.659766
DEBUG   ,9.471680,30.659766
DEBUG   ,9.471680,32.452734
DEBUG   ,9.471680,32.452734
DEBUG   ,7.863281,33.707812
DEBUG   ,7.863281,33.707812
DEBUG   ,6.791016,35.500781
DEBUG   ,6.791016,35.500781
DEBUG   ,6.791016,35.500781
DEBUG   ,4.289062,35.142187
DEBUG   ,4.289062,35.142187
DEBUG   ,4.646484,38.010937
DEBUG   ,4.646484,38.010937
DEBUG   ,4.646484,38.010937
DEBUG   ,4.646484,38.010937
DEBUG   ,4.646484,38.010937
DEBUG   ,4.646484,38.010937
DEBUG   ,6.433594,33.707812
DEBUG   ,6.433594,33.707812
DEBUG   ,7.327148,32.452734
DEBUG   ,7.327148,32.452734
DEBUG   ,8.578125,30.121875
DEBUG   ,8.578125,30.121875
DEBUG   ,9.114258,27.791016
DEBUG   ,9.114258,27.791016
DEBUG   ,11.437500,26.894531
DEBUG   ,11.437500,26.894531
DEBUG   ,14.475586,22.412109
DEBUG   ,14.475586,22.412109
DEBUG   ,16.441406,21.874219
DEBUG   ,16.441406,21.874219
DEBUG   ,16.977539,19.901953
DEBUG   ,16.977539,19.901953
DEBUG   ,18.228516,17.571094
DEBUG   ,18.228516,17.571094
DEBUG   ,18.228516,17.571094
DEBUG   ,18.228516,17.571094
DEBUG   ,18.943359,14.702344
DEBUG   ,18.943359,14.702344
DEBUG   ,18.407227,14.523047
DEBUG   ,18.407227,14.523047
DEBUG   ,16.262695,12.371484
DEBUG   ,16.262695,12.371484
DEBUG   ,16.083984,9.682031
DEBUG   ,16.083984,9.682031
DEBUG   ,14.118164,8.426953
DEBUG   ,14.118164,8.426953
DEBUG   ,10.543945,6.633984
DEBUG   ,10.543945,6.633984
DEBUG   ,6.612305,4.123828
DEBUG   ,6.612305,4.123828
DEBUG   ,7.148438,4.303125
DEBUG   ,7.148438,4.303125
DEBUG   ,7.148438,4.303125
DEBUG   ,7.148438,4.303125
DEBUG   ,7.148438,4.303125
DEBUG   ,7.148438,4.303125
DEBUG   ,5.003906,0.000000
DEBUG   ,5.003906,0.000000
DEBUG   ,5.182617,-1.613672
DEBUG   ,5.182617,-1.613672
DEBUG   ,3.395508,-3.048047
DEBUG   ,3.395508,-3.048047
DEBUG   ,0.536133,-4.123828
DEBUG   ,0.536133,-4.123828
DEBUG   ,0.536133,-0.896484
DEBUG   ,0.536133,-0.896484
DEBUG   ,0.000000,0.358594
DEBUG   ,0.000000,0.358594
DEBUG   ,-2.323242,0.896484
DEBUG   ,-2.323242,0.896484
DEBUG   ,-2.323242,0.896484
DEBUG   ,-2.323242,0.896484
DEBUG   ,-3.931641,-0.358594
