Test 1,,,,,,Test 2,,,,,,Test 3,,,,,,,
,,,,,,,,,,,,,,,,,,,
X Raw,Y Raw,,,Sum1,,X Raw,Y Raw,,,Sum2,,X Raw,Y Raw,,,Sum3,,,
14.833008,21.694922,,,-6.861914,,19.300781,25.101562,,,-5.800781,,17.334961,25.280859,,,-7.945898,,,
15.369141,22.95,,,-7.580859,,19.300781,27.253125,,,-7.952344,,18.228516,25.460156,,,-7.23164,,,
16.798828,21.157031,,,-4.358203,,19.300781,26.894531,,,-7.59375,,16.620117,25.280859,,,-8.660742,,,
15.011719,20.439844,,,-5.428125,,19.300781,27.253125,North,,-7.952344,,15.369141,24.384375,,,-9.015234,,,
16.798828,20.08125,,,-3.282422,,17.692383,24.205078,X Average,Y Average,-6.512695,,16.262695,24.205078,North,,-7.942383,,,
14.475586,21.694922,,,-7.219336,,20.194336,26.715234,19.16331123,26.31526438,-6.520898,,16.798828,26.894531,X Avg,Y Avg,-10.095703,,,
16.977539,19.901953,,,-2.924414,,19.16331123,26.31526438,,,-7.15195315,,16.620117,25.639453,16.90094864,25.79313607,-9.019336,,,
15.369141,20.439844,,,-5.070703,,19.16331123,26.31526438,,,-7.15195315,,16.90094864,25.79313607,,,-8.89218743,,,
15.547852,20.619141,,,-5.071289,,19.16331123,26.31526438,,,-7.15195315,,16.90094864,25.79313607,,,-8.89218743,,Mean X,Mean Y
15.19043,20.619141,North,,-5.428711,,19.16331123,26.31526438,,,-7.15195315,,16.90094864,25.79313607,,,-8.89218743,,17.26674276,24.35575382
14.833008,20.977734,X Avg,Y Avg,-6.144726,,19.16331123,26.31526438,,,-7.15195315,,16.90094864,25.79313607,,,-8.89218743,,STDEV X,STDEV Y
16.262695,21.336328,15.73596842,20.958861,-5.073633,,19.16331123,26.31526438,,,-7.15195315,,16.90094864,25.79313607,,,-8.89218743,,1.643508433,2.553472277
